,symbole,date,open,high,low,close,volume,adjclose
1,CMCSA,2021-02-24,52.56999969482422,53.529998779296875,52.56999969482422,53.400001525878906,19294900,53.400001525878906
2,CMCSA,2021-02-23,52.79999923706055,53.41999816894531,52.08000183105469,53.34000015258789,18273400,53.34000015258789
0,VZ,2021-02-26,56.119998931884766,56.849998474121094,55.7400016784668,56.47999954223633,16828133,56.47999954223633
1,VZ,2021-02-24,57.08000183105469,57.41999816894531,56.66999816894531,57.119998931884766,17121900,57.119998931884766
2,VZ,2021-02-23,56.810001373291016,57.529998779296875,56.290000915527344,57.029998779296875,21055000,57.029998779296875
0,ADBE,2021-02-26,471.239990234375,476.30999755859375,459.6099853515625,466.0899963378906,1636369,466.0899963378906
1,ADBE,2021-02-24,463.489990234375,477.3500061035156,460.2900085449219,476.6199951171875,3389700,476.6199951171875
2,ADBE,2021-02-23,461.0199890136719,471.44000244140625,450.1199951171875,467.79998779296875,4163500,467.79998779296875
0,KO,2021-02-26,50.470001220703125,50.744998931884766,49.97999954223633,50.125,8073970,50.125
1,KO,2021-02-24,50.38999938964844,50.900001525878906,50.130001068115234,50.709999084472656,14430200,50.709999084472656
2,KO,2021-02-23,51.0,51.5099983215332,50.41999816894531,50.540000915527344,16218400,50.540000915527344
0,CSCO,2021-02-26,45.584999084472656,46.2400016784668,45.310001373291016,45.85499954223633,12231864,45.85499954223633
1,CSCO,2021-02-24,45.2400016784668,45.79999923706055,45.040000915527344,45.7400016784668,17821700,45.7400016784668
2,CSCO,2021-02-23,45.2599983215332,45.779998779296875,45.099998474121094,45.5099983215332,19711400,45.5099983215332
0,SAP,2021-02-26,125.55000305175781,126.11000061035156,123.84500122070312,124.98999786376953,427328,124.98999786376953
1,SAP,2021-02-24,124.79000091552734,126.62000274658203,124.04000091552734,126.55999755859375,606100,126.55999755859375
2,SAP,2021-02-23,124.36000061035156,125.76000213623047,123.13999938964844,124.86000061035156,1394200,124.86000061035156
0,HDB,2021-02-26,82.79000091552734,83.5999984741211,82.09500122070312,82.74500274658203,1064219,82.74500274658203
1,HDB,2021-02-24,82.1500015258789,83.12999725341797,81.52999877929688,82.5,1824700,82.5
2,HDB,2021-02-23,79.51000213623047,80.43000030517578,78.4000015258789,79.87000274658203,1297900,79.87000274658203
0,UL,2021-02-26,53.900001525878906,54.349998474121094,53.439998626708984,53.83169937133789,4011603,53.83169937133789
1,UL,2021-02-24,53.880001068115234,54.5099983215332,53.880001068115234,54.2599983215332,4090500,54.2599983215332
2,UL,2021-02-23,54.31999969482422,55.689998626708984,54.31999969482422,55.41999816894531,4018400,55.41999816894531
